NUM;DATE;JACKPOT;N1;N2;N3;N4;N5;E1;E2;NBJEU;EU1;EU2;EU3;EU4;EU5;EU6;EU7;EU8;EU9;EU10;EU11;EU12;NB1;NB2;NB3;NB4;NB5;NB6;NB7;NB8;NB9;NB10;NB11;NB12;MT1;MT2;MT3;MT4;MT5;MT6;MT7;MT8;MT9;MT10;MT11;MT12
1321;19/05/2020;17000000;5;25;32;37;43;6;7;15110568;0;1;6;21;467;981;934;14287;20912;40300;81398;312561;0;0;1;4;76;159;162;2743;3890;7027;16270;60851;0;433824,4;16898,6;1503,8;124,5;62,6;46,2;15,1;11,5;11,1;6,6;5,4
1320;15/05/2020;72000000;11;23;32;34;39;1;6;19713383;1;1;6;31;740;1409;1844;19013;29810;70025;101435;386395;1;0;2;6;161;318;336;4412;6611;14242;24326;85677;72969058;565971,2;22046,1;1329;102,5;56,9;30,5;14,8;10,5;8,3;6,9;5,7
1319;12/05/2020;63000000;9;16;29;37;39;4;11;14818413;0;1;11;27;482;1017;1228;13634;21054;50289;70785;287434;0;0;1;4;114;174;284;2800;4550;11122;14566;62387;0;425436,6;9039,2;1147;118,3;59,3;34,5;15,5;11,2;8,7;7,5;5,8
1318;08/05/2020;56000000;8;25;32;33;38;7;9;17699051;0;4;2;23;481;1213;1018;19060;23726;49676;109056;370064;0;1;0;5;103;280;198;4550;4802;9857;27863;79758;0;127034,9;59380,3;1608,3;141,6;59,3;49,7;13,2;11,8;10,5;5,8;5,4
1317;05/05/2020;48000000;2;10;22;27;41;2;3;13884845;0;1;2;12;611;1032;1045;14408;25736;44589;72201;340813;0;1;1;3;146;251;247;3246;6312;10718;16111;83586;0;398633,9;46583,6;2418,2;87,4;54,7;38;13,7;8,6;9,2;6,9;4,6
1316;01/05/2020;40000000;19;20;38;45;47;2;6;16186780;0;2;4;18;401;1114;856;17825;19899;43289;103637;307608;0;2;1;5;83;233;157;3869;4083;8598;24452;65937;0;232361,2;27153,3;1879,4;155,4;59,1;54;12,9;12,9;11,1;5,6;5,9
1315;28/04/2020;32000000;15;23;26;28;32;1;5;12365585;0;2;3;20;418;948;922;13442;19829;41941;68361;272611;0;0;0;6;98;211;194;3083;4426;9514;15797;60583;0;177507,9;27657,6;1292,2;113,8;53;38,3;13,1;9,9;8,7;6,5;5,1
1314;24/04/2020;25000000;1;5;19;21;28;4;7;15450800;0;2;11;58;838;1956;1666;24446;32242;63734;112741;397681;0;0;1;16;275;600;464;6791;9026;16630;30010;104992;0;221796,2;9424,9;556,7;70,9;32,1;26,5;9;7,6;7,2;4,9;4,4
1313;21/04/2020;17000000;10;11;14;23;28;6;8;11343296;0;0;9;36;630;1220;1302;15103;23666;49650;69348;289915;0;0;3;14;206;340;345;4087;6360;13598;17802;73917;0;0;44642,1;658,5;69,3;37,8;24,9;10,7;7,6;6,7;5,8;4,4
1312;17/04/2020;66000000;16;28;32;37;45;1;11;17323783;1;2;7;25;424;846;1382;13216;20091;54040;72658;289473;0;0;1;5;97;169;329;2625;4451;12204;14870;61970;67188313;248682,9;16606;1448,2;157,3;83,3;35,8;18,7;13,7;9,5;8,5;6,7
1311;14/04/2020;58000000;6;29;34;35;40;4;11;12445830;0;1;0;11;249;580;630;9521;12558;29444;56431;205136;0;0;0;1;52;96;140;1764;2548;6130;11053;42425;0;357319,7;0;9956,6;192,4;87,3;56,5;18,6;15,8;12,5;7,9;6,8
1310;10/04/2020;52000000;3;10;17;33;39;1;4;16533628;0;0;6;27;621;1122;1499;15836;25977;61580;81248;361603;0;0;0;3;113;247;340;3718;6031;14268;19161;86858;0;0;97603,5;1279,8;102,5;59,9;31,5;14,9;10,1;7,9;7,3;5,1
1309;07/04/2020;45000000;4;5;14;33;48;7;12;12099808;0;3;2;8;293;580;722;8985;14646;35661;48459;232864;0;1;0;1;62;134;155;1962;3269;7709;10466;53752;0;115795,1;40594,8;3161;158,9;84,9;47,9;19,2;13,1;10;8,9;5,8
1308;03/04/2020;37000000;16;19;34;46;50;2;6;15207406;0;1;1;27;395;957;862;16390;18322;39155;94506;288016;0;0;0;10;83;222;154;3649;3601;7629;22408;62074;0;436604,6;102041,7;1177,1;148,2;64,6;50,4;13,2;13,2;11,5;5,7;5,9
1307;31/03/2020;29000000;12;17;24;30;36;1;9;11041707;0;0;8;20;447;883;1017;12204;17399;40152;62225;231617;0;0;1;4;91;221;233;2860;3944;9196;14397;51907;0;0;48887,1;1153,8;95,1;50,8;31;12,9;10,1;8,1;6,3;5,4
1306;27/03/2020;24000000;11;14;27;41;46;2;3;14007830;0;3;4;11;515;811;922;12637;20959;40640;68974;309679;0;0;1;3;102;161;202;2748;4760;8895;14485;71085;0;134054,9;23498,1;2661,4;104,7;70,2;43,4;15,8;10,6;10,2;7,3;5,1
1305;24/03/2020;17000000;7;12;26;30;33;10;11;9964974;0;0;7;14;342;517;984;7338;13096;41534;38881;181198;0;0;1;1;87;125;252;1458;2919;10802;7204;39585;0;0;50422,7;1487,6;112,1;78,4;28,9;19,4;12,1;7,1;9,2;6,2
1304;20/03/2020;17000000;3;9;20;34;40;6;12;14310644;1;1;5;17;372;646;1026;10259;17906;48304;54381;257346;1;0;1;3;87;117;221;2050;3598;10256;10847;53601;17000000;410858,5;19204,8;1759,3;148,1;90,1;39,8;19,9;12,7;8,7;9,4;6,3
1303;17/03/2020;65000000;5;7;8;16;20;2;12;14090278;1;1;10;20;663;909;1871;11361;24878;65329;56137;308690;0;0;4;7;198;211;543;2651;6485;17750;11916;73342;63600033;404531,9;9454,5;1472,4;81,8;63;21,5;17,7;9;6,4;9;5,1
1302;13/03/2020;54000000;3;11;21;27;36;9;10;27808702;0;5;10;28;1050;1458;2496;21469;43876;107944;108210;586799;0;1;3;8;269;363;605;5001;11144;27439;25756;150457;0;159677,5;18659,6;2075,7;101,9;77,6;31,8;18,5;10,1;7,6;9,2;5,3
1301;10/03/2020;40000000;11;23;30;37;43;5;12;18465432;0;4;11;30;618;978;1393;13649;25024;60287;72480;352601;0;1;5;10;125;185;299;2433;4725;12233;12982;66613;0;132535,6;11263,9;1286,4;115;76,8;37,9;19,3;11,7;9;9,1;5,9
1300;06/03/2020;30000000;15;38;43;45;46;1;11;24362917;0;3;2;24;454;1195;1239;17365;24578;61429;98569;375415;0;0;0;4;69;217;234;3214;4417;11602;18405;69935;0;233153,1;81737,5;2121,6;206,6;82,9;56,2;20;15,8;11,7;8,8;7,3
1299;03/03/2020;17000000;4;14;27;44;45;1;10;17465900;0;2;8;31;515;942;1323;12916;21927;60320;69504;311126;0;1;3;10;105;205;239;2573;4267;11853;13470;62072;0;250722,9;14649,5;1177,5;130,5;75,4;37,7;19,3;12,7;8,5;9;6,3
1298;28/02/2020;66000000;8;11;20;22;23;3;4;27535705;1;4;6;86;1460;2458;2778;31146;56318;110228;142449;718242;0;1;1;18;350;494;644;6382;12964;24659;28327;156684;67084644;197637,5;30794;669,1;72,6;45,5;28,3;12,6;7,7;7,4;6,9;4,3
1297;25/02/2020;51000000;1;4;18;27;42;4;6;19734828;0;2;4;41;698;1862;1551;25527;31969;66345;126041;437820;0;0;0;10;151;449;352;6194;6922;13918;28941;92196;0;283293,4;33105,1;1005,9;108,8;43,1;36,3;11;9,8;8,8;5,6;5,1
1296;21/02/2020;41000000;7;23;30;32;45;5;9;25539062;0;4;6;64;1075;2748;1893;35431;41353;83014;180129;578223;0;1;2;14;192;395;401;6384;8177;17339;34181;114601;0;183306,6;28561,1;834;91,4;37,8;38,5;10,3;9,8;9,1;5;5
1295;18/02/2020;27000000;11;32;34;38;47;2;10;18253392;0;2;3;22;432;1051;1084;14720;21333;51032;81867;313390;0;0;1;3;75;237;194;3073;3916;9325;17320;59434;0;262027,4;40826,7;1734;162,6;70,6;48,1;17,7;13,6;10,6;8;6,5
1294;14/02/2020;17000000;5;20;35;41;49;6;10;25523944;0;3;6;22;622;1413;1573;20251;27721;67779;114200;433629;0;1;1;3;100;277;306;4027;5845;14149;24351;95066;0;244264,1;28544,2;2424,7;157,9;73,5;46,4;18;14,6;11,1;8;6,6
1293;11/02/2020;17000000;24;26;32;43;46;6;10;18374664;1;5;5;22;441;1016;1073;15248;21754;49845;82255;319038;0;1;0;3;93;210;232;2822;4476;9566;15585;63583;17000000;105507,3;24658,7;1745,5;160,4;73,6;48,9;17,2;13,4;10,9;8;6,5
1292;07/02/2020;130000000;9;15;17;25;40;3;9;45434887;1;10;21;125;1753;4818;3470;64186;78373;154867;316390;1051780;0;3;1;33;351;1122;758;15264;17574;35075;74755;240147;130000000;130443,5;14517,5;759,6;99,7;38,3;37,4;10,1;9,2;8,7;5,1;4,8
1291;04/02/2020;38000000;21;23;33;35;47;6;7;21678367;0;4;9;47;659;1573;1461;22081;32479;61757;116314;473901;0;0;0;4;97;278;222;3826;5207;9613;20273;80717;0;155596,4;16162,4;963,9;126,6;56;42,4;14;10,6;10,4;6,7;5,1
1290;31/01/2020;28000000;13;18;20;23;30;2;4;25114298;0;12;18;47;1213;2571;2496;31283;46534;98157;147291;608229;0;4;9;6;294;553;533;6648;10088;20560;30517;126309;0;90934,6;14119,8;2645;109,3;71,9;42;15,4;10,9;9,8;9,2;6,7
1289;28/01/2020;17000000;1;19;27;31;38;4;5;17517075;0;2;2;29;564;1204;1125;17912;27327;55691;93807;399108;0;2;1;8;111;218;242;3417;5320;11339;17795;77279;0;380558,4;88636,3;2989,9;163,9;107,2;65;18,8;13;12,1;10,1;7,1
1288;24/01/2020;28000000;3;4;6;9;24;5;8;24414393;1;5;12;97;1304;3192;3205;38557;48109;107815;191616;590286;0;0;1;1;100;254;177;4522;4678;9290;24848;72834;28601720;212161;20589,4;1245,8;98,8;56,3;31,8;12,1;10,3;8,7;6,9;6,7
1287;21/01/2020;17000000;10;11;24;36;46;3;5;17685261;0;3;5;21;474;1333;983;22813;24456;47953;127338;374176;0;0;1;1;100;254;177;4522;4678;9290;24848;72834;0;256141,5;35794,9;4168,6;197;97,7;75,2;14,9;14,7;14,1;7,5;7,7
1286;17/01/2020;100000000;8;19;20;29;44;3;8;32157055;1;4;5;64;1164;3451;2256;48159;54426;106522;220155;763017;0;0;3;17;231;707;464;9628;11948;22311;42103;160422;100779289;349306;65085,8;2487,1;145,8;68,6;59,5;12,8;12;11,6;7,9;6,8
1285;14/01/2020;90000000;21;25;29;39;44;8;9;23847582;0;4;5;19;735;1469;1385;21378;33632;67915;114796;505479;0;0;0;3;127;271;247;3871;6066;12451;21174;94023;0;259044,3;48267,5;6212,9;171,3;119,6;71,9;21,4;14,4;13,5;11,3;7,7
1284;10/01/2020;83000000;6;17;32;44;46;2;6;29657402;0;2;5;54;944;2310;2075;34755;41192;88541;188097;600962;0;0;2;8;183;425;342;7160;8071;15959;39742;118711;0;644307;60026,5;2718,5;165,8;94,6;59,7;16,4;14,6;12,8;8,5;8
1283;07/01/2020;75000000;5;8;12;37;43;6;11;21770211;0;2;17;28;673;1359;1479;19964;29548;73786;103598;431059;0;1;7;6;122;282;342;4348;6308;15942;20858;89042;0;472957,8;12959,6;3848,6;170,7;118;61,5;20,9;14,9;11,3;11,4;8,2
1282;03/01/2020;62000000;5;15;20;36;47;8;12;25825155;0;5;8;26;710;1294;1696;18386;30832;79892;98325;457864;0;1;0;3;111;231;272;3124;5559;14861;17379;84669;0;224420,6;32668,8;4916,7;192;147;63,6;27;17;12,4;14,3;9,2
1281;31/12/2019;49000000;26;31;33;41;48;2;4;29540141;0;2;6;36;823;1696;1704;26542;35939;78300;152760;553146;0;0;0;7;145;276;312;4533;5792;12509;27260;93057;0;641759,5;49824,3;4061,7;189,5;128,3;72,4;21,4;16,7;14,5;10,5;8,7
1280;27/12/2019;38000000;1;7;22;26;35;5;10;23572888;0;2;9;31;725;1507;1838;22757;34192;80968;117869;498203;0;0;1;6;157;295;399;4289;6785;17008;21171;98807;0;512121;26506,4;3764;171,6;115,2;53,6;19,9;14;11,2;10,8;7,7
1279;24/12/2019;25000000;3;11;13;14;47;3;6;22056045;0;1;4;45;770;2204;1531;31898;38449;74332;150061;539471;0;0;2;9;158;533;303;7325;8269;15375;33851;112016;0;958335,1;55801,7;2426,1;151,2;73,7;60,2;13,3;11,6;11,4;8;6,6
1278;20/12/2019;0;8;24;30;32;34;3;4;23970457;0;1;3;37;647;1595;1384;22516;35481;69386;118818;512263;0;1;1;7;110;288;247;4282;6794;12958;23102;101783;0;1041516,4;80860,3;3206,8;195,6;110,7;72,3;20,4;13,7;13,3;10,9;7,6
1277;17/12/2019;47000000;1;7;12;25;49;6;9;20074306;1;2;14;69;1037;2013;2427;26312;35889;79871;128030;462960;0;0;2;14;203;453;479;5343;8150;17583;24515;96705;48949099;436114,3;14510,8;1440,1;102,2;73,4;34,5;14,6;11,3;9,6;8,5;7
1276;13/12/2019;37000000;9;16;18;23;32;2;10;28640051;0;3;11;51;1106;1909;2723;27182;44936;110577;136013;602141;0;3;2;12;302;513;704;7308;11451;27648;36499;153432;0;414803,4;26348,8;2779,7;136,7;110,5;43,9;20,2;12,9;9,9;11,4;7,7
1275;10/12/2019;25000000;2;10;19;21;47;2;8;18518593;0;0;4;53;832;2188;1567;28972;31627;63488;140485;421035;0;0;2;8;182;493;348;6144;6957;13556;28654;87921;0;0;248010,2;1729,5;117,5;62,3;49,3;12,3;11,9;11,2;7,1;7,1
1274;06/12/2019;17000000;1;3;27;39;46;1;10;23965035;0;2;2;16;617;1267;1609;18726;29386;75604;99123;438621;0;0;0;4;104;254;305;3643;5790;14805;19327;88178;0;520640,3;121263;7414,1;205;139,4;62,2;24,6;16,5;12,2;13,1;8,9
1273;03/12/2019;47000000;18;31;32;38;48;4;12;20331615;1;1;4;25;455;1005;1152;14591;23817;58409;76990;338132;0;0;0;2;65;144;177;2354;4079;9866;12511;58057;48061132;883408,7;51438,9;4025,6;235,9;149;73,7;26,8;17,3;13,4;14,3;9,8
1272;29/11/2019;37000000;3;7;12;42;50;6;8;26335653;0;2;5;39;850;2039;2056;30490;41699;95157;154348;591932;0;0;0;8;163;448;429;6511;8350;19062;31711;117758;0;572142;53303,3;3342,6;163,5;95,1;53,5;16,6;12,8;10,6;9,2;7,2
